time,open,close,high,low,Volume
1632194940,4700800,4700800,4700800,4700800,0.00632
1632195000,4693400,4693400,4693400,4693400,0.08
1632195060,4691242.08,4687300,4691242.08,4684400,0.57833781
1632195180,4684300,4680900,4684300,4680900,0.00802
1632195240,4681530.076,4675700,4681530.08,4675700,0.53070415
1632195300,4682500,4682500,4682500,4682500,0.02063485
1632195360,4681800,4677000,4681800,4677000,0.0121574
1632195420,4677000,4679300,4679300,4675000,0.05665883
1632195600,4679800,4679800,4679800,4679800,0.000266
1632195660,4685700,4683700,4685700,4682900,0.08415215
1632195720,4685300,4685300,4685300,4685300,0.055
1632195780,4685300,4686677.785,4686677.78,4685300,0.02416862
1632195900,4685143.756,4683606.083,4685143.76,4683606.083,0.93822496
1632195960,4683600,4677900,4683600,4677900,0.25027295
1632196080,4682300,4682300,4682300,4682300,0.01
1632196140,4685400,4678700,4685400,4678700,0.0546
1632196200,4678600,4672800,4678600,4672800,0.06390726
1632196260,4672800,4678000,4678000,4672800,0.28195802
1632196380,4678900,4678900,4678900,4678900,0.06052674
1632196440,4678303.066,4669300,4678400,4669300,0.53798861
1632196500,4670200,4670200,4670200,4670200,0.005
1632196560,4678303.066,4679700,4679700,4678303.066,0.98598624
1632196620,4682100,4682100,4682100,4682100,0.05
1632196680,4686900,4688700,4688700,4686900,0.03316859
1632196740,4679300,4679300,4679300,4679300,0.03829
1632196800,4676000.906,4674000,4676000.91,4672700,0.47682537
1632196860,4683900,4684700,4684700,4683900,0.29901013
1632196920,4686500,4688200,4688200,4686500,0.05007872
1632196980,4688800,4690600,4690600,4688800,0.0072
1632197040,4690700,4691700,4692400,4690700,0.30718608
1632197100,4692463.29,4694700,4694700,4692463.29,0.0134
1632197160,4694778.397,4691900,4700700,4691900,0.5927051
1632197220,4693200,4685746.884,4693300,4685746.884,0.33610718
1632197280,4684500,4675700,4684500,4675700,0.30061664
1632197340,4676648.134,4666700,4676648.13,4666700,0.38251139
1632197400,4666800,4665600,4666800,4665600,0.05261
1632197460,4668500,4655200,4668500,4655200,1.07351929
1632197520,4655100,4652000,4655100,4652000,0.71506799
1632197580,4658800,4658894.338,4658894.34,4658800,0.03178338
1632197640,4661300,4663388.061,4663388.06,4661200,1.01183402
1632197700,4667100,4667100,4667100,4667100,0.05
1632197760,4667100,4667100,4667100,4667100,0.119
1632197820,4670000,4670000,4670000,4670000,0.00007336
1632197880,4669900,4669900,4669900,4669900,0.00885913
1632197940,4666900,4663300,4669400,4663300,0.01028061
1632198000,4663200,4658900,4663200,4658900,0.00942
1632198060,4658800,4657900,4658800,4657900,0.05264
1632198120,4658900,4656800,4658900,4656800,0.47845577
1632198180,4656700,4651500,4656700,4651500,0.01185954
1632198300,4652400,4647200,4652400,4644600,0.06980207
1632198360,4644600,4644400,4644600,4644400,0.00055898
1632198480,4644300,4641000,4644300,4641000,0.01829578
1632198540,4642600,4642400,4642600,4642400,0.03795646
1632198600,4643100,4654500,4654500,4643100,0.39884385
1632198840,4651000,4650900,4651000,4650900,0.0004
1632198900,4653000,4653000,4653000,4653000,0.03
1632198960,4657300,4657300,4657300,4657300,0.00015545
1632199080,4654400,4652400,4654400,4652400,0.00342477
1632199140,4652300,4643800,4652300,4643800,0.0198795
1632199200,4643700,4643400,4643700,4643400,0.0008
1632199320,4647200,4643600,4647200,4643600,0.0068
1632199380,4643500,4643700,4645869.41,4642600,0.10823
1632199440,4643600,4639500,4643600,4639500,0.01364044
1632199500,4639400,4638400,4639400,4638400,0.04743
1632199560,4639700,4639700,4639700,4639700,0.03364
1632199620,4644300,4644300,4644300,4644300,0.23608362
1632199680,4644900,4644900,4644900,4644900,0.01704553
1632199740,4647300,4648900,4648900,4647300,0.23597708
1632199800,4645600,4646100,4646100,4645600,0.23631327
1632199860,4652400,4655800,4655800,4652400,0.23938054
1632199920,4657600,4658700,4658700,4657600,0.0032675
1632200040,4654500,4654500,4654500,4654500,0.00027509
1632200220,4652700,4652649.551,4652700,4652649.551,0.00126497
1632200400,4653700,4654700,4654700,4653700,0.0152
1632200460,4654900,4662900,4662900,4654900,0.13060316
1632200520,4663000,4664900,4664900,4663000,0.00922808
1632200580,4658500,4658047.937,4658500,4658047.937,0.09594
1632200640,4657000,4654100,4657000,4654100,0.40251263
1632200700,4652100,4644700,4652100,4644700,0.28687552
1632200760,4644600,4642900,4644600,4642900,0.0298785
1632200820,4646432.403,4646432.403,4646432.4,4646432.403,0.47212206
